#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP	R2M	R025
25.875	25.869	0.172	-0.461	66.534	8.295	6.703	6.754	2.092	-26.750	7.465	5.749
26.000	25.994	0.173	-0.463	72.109	7.975	6.536	6.660	2.109	-25.958	7.511	5.623
26.125	26.119	0.174	-0.465	79.268	7.852	6.122	6.243	2.143	-25.043	7.606	5.437
26.250	26.244	0.175	-0.468	88.453	7.299	5.516	5.352	2.198	-24.080	7.695	5.195
26.375	26.369	0.176	-0.470	98.090	6.342	4.918	4.440	2.252	-23.068	7.715	4.854
26.500	26.494	0.177	-0.472	104.660	4.886	4.470	4.003	2.281	-22.033	7.620	4.410
26.625	26.619	0.177	-0.474	107.447	4.354	4.245	3.978	2.280	-21.038	7.407	4.006
26.750	26.744	0.178	-0.477	105.558	4.457	4.250	4.182	2.263	-20.177	7.130	3.767
26.875	26.869	0.179	-0.479	101.053	4.641	4.348	4.412	2.254	-19.469	6.892	3.635
27.000	26.994	0.180	-0.481	95.773	4.628	4.435	4.556	2.258	-18.925	6.747	3.584
27.125	27.119	0.181	-0.483	92.808	4.401	4.443	4.548	2.274	-18.565	6.674	3.589
27.250	27.244	0.182	-0.486	94.663	4.134	4.352	4.447	2.288	-18.324	6.563	3.613
27.375	27.369	0.182	-0.488	98.511	3.976	4.213	4.326	2.290	-18.119	6.348	3.649
27.500	27.494	0.183	-0.490	101.435	3.997	4.083	4.271	2.275	-17.992	6.054	3.671
27.625	27.619	0.184	-0.492	101.348	4.281	4.031	4.226	2.246	-17.972	5.764	3.645
27.750	27.744	0.185	-0.494	97.889	4.978	4.154	4.316	2.224	-18.022	5.568	3.598
27.875	27.869	0.186	-0.497	93.358	5.989	4.454	4.427	2.228	-18.118	5.442	3.619
28.000	27.994	0.187	-0.499	88.130	7.079	4.891	5.010	2.261	-18.255	5.337	3.780
28.125	28.119	0.187	-0.501	82.819	7.887	5.360	6.447	2.316	-18.398	5.232	4.095
28.250	28.244	0.188	-0.503	80.490	8.058	5.665	7.728	2.363	-18.582	5.181	4.559
28.375	28.369	0.189	-0.506	80.915	7.860	5.727	7.199	2.375	-18.858	5.225	5.046
28.500	28.494	0.190	-0.508	82.009	7.583	5.622	5.975	2.350	-19.138	5.315	5.452
28.625	28.619	0.191	-0.510	82.849	7.326	5.545	5.407	2.312	-19.379	5.331	5.711
28.750	28.744	0.192	-0.512	82.279	7.100	5.784	5.557	2.296	-19.652	5.139	5.836
28.875	28.869	0.192	-0.514	78.000	7.404	6.485	6.462	2.315	-20.013	4.813	5.988
29.000	28.994	0.193	-0.517	70.037	8.143	7.707	9.042	2.370	-20.462	4.527	6.306
29.125	29.119	0.194	-0.519	62.751	9.452	9.302	14.165	2.443	-20.995	4.492	6.949
29.250	29.244	0.195	-0.521	60.009	10.740	10.713	17.950	2.483	-21.602	4.879	7.980
29.375	29.369	0.196	-0.523	59.763	11.109	11.288	17.129	2.454	-22.307	5.498	9.020
29.500	29.494	0.197	-0.526	59.506	9.992	10.836	13.456	2.367	-23.108	6.116	9.649
29.625	29.619	0.197	-0.528	58.453	8.716	9.710	9.777	2.260	-23.899	6.538	9.609
29.750	29.744	0.198	-0.530	57.554	8.048	8.504	8.371	2.166	-24.636	6.607	9.005
29.875	29.869	0.199	-0.532	57.141	7.870	7.590	8.094	2.103	-25.357	6.416	8.356
30.000	29.994	0.200	-0.535	57.451	7.648	7.031	8.069	2.078	-26.006	6.090	7.884
30.125	30.118	0.204	-0.546	58.324	7.328	6.778	7.977	2.083	-26.510	5.759	7.570
30.250	30.242	0.208	-0.557	59.612	7.266	6.771	7.932	2.101	-26.801	5.535	7.334
30.375	30.367	0.213	-0.568	60.365	7.209	6.865	7.951	2.114	-26.903	5.447	7.143
30.500	30.491	0.217	-0.579	59.147	7.174	6.978	8.017	2.121	-26.923	5.501	7.007
30.625	30.615	0.221	-0.590	56.920	7.244	7.051	7.911	2.123	-26.973	5.675	6.914
30.750	30.740	0.225	-0.601	57.246	7.256	7.044	7.794	2.121	-27.021	5.926	6.829
30.875	30.864	0.230	-0.612	59.826	7.250	6.982	7.690	2.114	-27.024	6.191	6.770
31.000	30.988	0.234	-0.623	61.531	7.183	6.892	7.640	2.108	-27.045	6.429	6.766
31.125	31.113	0.238	-0.634	60.493	7.134	6.799	7.611	2.112	-27.118	6.636	6.775
31.250	31.237	0.243	-0.645	59.064	7.021	6.708	7.711	2.131	-27.260	6.874	6.749
31.375	31.362	0.247	-0.656	58.321	6.949	6.624	7.678	2.152	-27.426	7.220	6.714
31.500	31.486	0.251	-0.667	57.095	6.936	6.564	7.607	2.163	-27.583	7.695	6.685
31.625	31.610	0.255	-0.678	55.913	6.940	6.554	7.519	2.159	-27.715	8.243	6.659
31.750	31.735	0.260	-0.689	56.076	6.990	6.615	7.543	2.146	-27.817	8.752	6.632
31.875	31.859	0.264	-0.700	58.001	7.164	6.709	7.781	2.136	-27.901	9.119	6.599
32.000	31.983	0.268	-0.711	59.480	7.399	6.794	8.176	2.134	-27.961	9.303	6.592
32.125	32.108	0.272	-0.723	58.207	7.495	6.844	8.450	2.137	-27.934	9.340	6.636
32.250	32.232	0.277	-0.734	55.765	7.587	6.870	8.355	2.137	-27.765	9.303	6.694
32.375	32.356	0.281	-0.745	55.403	7.586	6.919	8.155	2.133	-27.576	9.260	6.708
32.500	32.481	0.285	-0.756	55.839	7.507	6.999	7.904	2.128	-27.377	9.216	6.676
32.625	32.605	0.289	-0.767	54.714	7.364	7.066	7.670	2.120	-27.108	9.150	6.630
32.750	32.729	0.294	-0.778	55.344	7.155	6.975	7.567	2.104	-26.745	9.045	6.573
32.875	32.854	0.298	-0.789	60.765	6.854	6.627	7.549	2.076	-26.302	8.937	6.451
33.000	32.978	0.302	-0.800	68.545	6.642	5.998	7.237	2.037	-25.736	8.859	6.247
33.125	33.103	0.306	-0.811	76.159	6.447	5.198	6.318	2.009	-25.099	8.825	5.979
33.250	33.227	0.311	-0.822	82.620	5.976	4.458	5.099	2.032	-24.556	8.802	5.597
33.375	33.351	0.315	-0.833	86.986	5.740	3.962	4.626	2.092	-24.137	8.729	5.097
33.500	33.476	0.319	-0.844	87.977	5.552	3.790	4.671	2.148	-23.815	8.583	4.590
33.625	33.600	0.324	-0.855	85.449	5.499	3.962	5.108	2.157	-23.633	8.386	4.254
33.750	33.724	0.328	-0.866	79.015	5.723	4.477	6.005	2.121	-23.671	8.201	4.288
33.875	33.849	0.332	-0.877	71.460	5.940	5.154	6.725	2.085	-23.846	8.086	4.691
34.000	33.973	0.336	-0.888	66.676	6.128	5.814	7.057	2.061	-24.149	8.038	5.362
34.125	34.097	0.341	-0.899	66.267	6.388	6.283	7.177	2.052	-24.572	7.995	6.040
34.250	34.222	0.345	-0.911	68.438	6.515	6.430	7.293	2.065	-25.037	7.872	6.410
34.375	34.346	0.349	-0.922	70.136	6.634	6.367	7.340	2.092	-25.459	7.662	6.522
34.500	34.470	0.353	-0.933	69.454	6.793	6.214	7.268	2.118	-25.822	7.404	6.529
34.625	34.595	0.358	-0.944	66.537	6.907	6.063	7.100	2.132	-26.115	7.154	6.514
34.750	34.719	0.362	-0.955	63.112	6.896	5.961	7.086	2.126	-26.296	6.958	6.466
34.875	34.843	0.366	-0.966	61.426	6.840	5.900	7.086	2.105	-26.395	6.818	6.441
35.000	34.968	0.370	-0.977	60.347	6.830	5.871	7.070	2.078	-26.443	6.723	6.444
35.125	35.092	0.375	-0.988	60.279	6.824	5.871	7.028	2.064	-26.467	6.652	6.445
35.250	35.217	0.379	-0.999	62.345	6.787	5.899	6.996	2.074	-26.447	6.582	6.473
35.375	35.341	0.383	-1.010	63.867	6.685	5.938	7.020	2.096	-26.418	6.508	6.513
35.500	35.465	0.388	-1.021	63.851	6.636	5.967	7.095	2.118	-26.366	6.443	6.527
35.625	35.590	0.392	-1.032	63.959	6.639	5.968	7.169	2.131	-26.234	6.402	6.543
35.750	35.714	0.396	-1.043	65.362	6.710	5.933	7.129	2.134	-26.032	6.406	6.599
35.875	35.838	0.400	-1.054	66.800	6.717	5.888	6.961	2.132	-25.834	6.462	6.634
36.000	35.963	0.405	-1.065	67.669	6.691	5.854	6.854	2.128	-25.658	6.582	6.608
36.125	36.087	0.409	-1.076	66.511	6.841	5.853	6.857	2.124	-25.507	6.774	6.552
36.250	36.211	0.413	-1.088	65.073	7.041	5.902	6.881	2.121	-25.360	7.021	6.537
36.375	36.336	0.417	-1.099	65.596	7.063	5.996	6.874	2.120	-25.103	7.258	6.547
36.500	36.460	0.422	-1.110	66.950	7.112	6.130	6.879	2.124	-24.764	7.442	6.549
36.625	36.584	0.426	-1.121	66.529	7.460	6.304	6.913	2.131	-24.455	7.569	6.571
36.750	36.709	0.430	-1.132	65.152	7.719	6.511	7.034	2.136	-24.165	7.667	6.636
36.875	36.833	0.434	-1.143	65.429	7.874	6.694	7.094	2.137	-23.832	7.764	6.697
37.000	36.958	0.439	-1.154	65.349	8.172	6.772	7.141	2.137	-23.449	7.860	6.739
37.125	37.082	0.443	-1.165	64.582	7.952	6.660	7.413	2.143	-23.020	7.956	6.780
37.250	37.206	0.447	-1.176	69.085	7.655	6.294	7.823	2.154	-22.568	8.054	6.774
37.375	37.331	0.452	-1.187	77.988	7.011	5.776	7.722	2.169	-22.113	8.163	6.599
37.500	37.455	0.456	-1.198	84.045	6.735	5.223	6.741	2.184	-21.630	8.267	6.213
37.625	37.579	0.460	-1.209	83.614	6.384	4.743	5.872	2.197	-21.108	8.296	5.732
37.750	37.704	0.464	-1.220	82.181	6.277	4.436	5.777	2.201	-20.601	8.143	5.389
37.875	37.828	0.469	-1.231	84.551	6.158	4.295	5.874	2.199	-20.186	7.838	5.236
38.000	37.952	0.473	-1.242	87.736	6.188	4.309	5.932	2.199	-19.862	7.452	5.202
38.125	38.077	0.477	-1.253	87.408	6.412	4.472	5.905	2.205	-19.587	7.069	5.271
38.250	38.201	0.481	-1.264	83.018	7.659	4.829	6.173	2.211	-19.334	6.760	5.491
38.375	38.325	0.486	-1.276	77.079	9.688	5.379	6.511	2.209	-19.147	6.530	5.813
38.500	38.450	0.490	-1.287	71.774	10.856	6.110	7.097	2.215	-19.093	6.379	6.227
38.625	38.574	0.494	-1.298	69.248	12.131	6.951	8.158	2.247	-19.171	6.332	6.746
38.750	38.699	0.498	-1.309	68.882	13.091	7.712	11.364	2.296	-19.349	6.473	7.349
38.875	38.823	0.503	-1.320	68.700	13.457	8.209	14.944	2.307	-19.530	6.789	8.033
39.000	38.947	0.507	-1.331	67.358	13.289	8.391	13.678	2.256	-19.661	7.188	8.788
39.125	39.072	0.511	-1.342	66.647	13.012	8.395	10.899	2.181	-19.762	7.531	9.517
39.250	39.196	0.515	-1.353	67.298	13.298	8.522	10.005	2.132	-19.928	7.679	9.984
39.375	39.320	0.520	-1.364	65.912	14.394	8.997	10.363	2.107	-20.170	7.668	10.209
39.500	39.445	0.524	-1.375	60.640	16.197	9.880	12.627	2.103	-20.431	7.620	10.477
39.625	39.569	0.528	-1.386	54.227	18.218	11.016	19.126	2.117	-20.670	7.720	11.048
39.750	39.693	0.533	-1.397	51.852	19.473	11.907	28.920	2.144	-20.842	8.215	11.905
39.875	39.818	0.537	-1.408	53.684	19.451	12.135	29.875	2.164	-20.965	9.113	12.613
40.000	39.942	0.541	-1.419	57.010	18.321	11.679	19.645	2.167	-21.066	10.295	12.828
40.125	40.066	0.545	-1.430	59.523	16.759	10.870	11.637	2.161	-21.163	11.460	12.569
40.250	40.191	0.550	-1.441	60.020	15.547	10.144	9.512	2.157	-21.227	12.110	12.159
40.375	40.315	0.554	-1.452	59.559	14.936	9.708	9.597	2.155	-21.278	12.087	11.835
40.500	40.440	0.558	-1.464	59.070	14.852	9.578	10.283	2.148	-21.325	11.506	11.550
40.625	40.564	0.562	-1.475	58.778	15.061	9.678	10.667	2.139	-21.357	10.694	11.368
40.750	40.688	0.567	-1.486	59.202	15.279	9.889	10.620	2.139	-21.367	10.064	11.387
40.875	40.813	0.571	-1.497	60.134	15.353	10.086	10.497	2.142	-21.369	9.762	11.367
41.000	40.937	0.575	-1.508	61.612	15.319	10.242	10.423	2.142	-21.393	9.764	11.251
41.125	41.061	0.579	-1.519	61.877	15.275	10.380	10.449	2.138	-21.453	9.997	11.112
41.250	41.186	0.584	-1.530	60.793	15.252	10.513	10.554	2.130	-21.447	10.383	10.951
41.375	41.310	0.588	-1.541	61.152	15.135	10.578	10.512	2.116	-21.355	10.803	10.828
41.500	41.434	0.592	-1.552	63.149	14.758	10.465	10.545	2.100	-21.259	11.194	10.765
41.625	41.559	0.597	-1.563	63.643	14.005	10.079	10.727	2.087	-21.165	11.537	10.664
41.750	41.683	0.601	-1.574	63.107	12.879	9.388	10.636	2.081	-21.067	11.890	10.371
41.875	41.807	0.605	-1.585	66.201	11.689	8.591	9.635	2.085	-20.942	12.330	9.851
42.000	41.932	0.609	-1.596	72.905	10.710	7.871	8.081	2.104	-20.775	12.854	9.160
42.125	42.056	0.614	-1.607	79.362	10.132	7.370	7.405	2.130	-20.554	13.376	8.446
42.250	42.181	0.618	-1.618	83.254	10.051	7.178	7.425	2.143	-20.344	13.730	7.911
42.375	42.305	0.622	-1.629	84.938	10.231	7.182	7.724	2.140	-20.166	13.846	7.604
42.500	42.429	0.626	-1.640	84.134	10.415	7.245	8.044	2.131	-20.005	13.737	7.507
42.625	42.554	0.631	-1.652	81.270	10.346	7.214	8.099	2.128	-19.844	13.487	7.523
42.750	42.678	0.635	-1.663	78.662	9.860	6.966	7.867	2.134	-19.678	13.186	7.468
42.875	42.802	0.639	-1.674	78.236	9.178	6.589	7.514	2.146	-19.530	12.888	7.323
43.000	42.927	0.643	-1.685	80.485	8.588	6.237	7.081	2.161	-19.409	12.570	7.106
43.125	43.051	0.648	-1.696	83.402	8.358	6.064	6.677	2.173	-19.361	12.178	6.837
43.250	43.175	0.652	-1.707	84.030	8.733	6.231	6.737	2.173	-19.439	11.699	6.650
43.375	43.300	0.656	-1.718	82.217	9.602	6.710	7.303	2.157	-19.540	11.192	6.657
43.500	43.424	0.661	-1.729	79.556	10.768	7.419	8.693	2.132	-19.569	10.715	6.908
43.625	43.548	0.665	-1.740	76.372	11.887	8.174	9.888	2.109	-19.549	10.369	7.414
43.750	43.673	0.669	-1.751	73.347	12.403	8.625	10.226	2.100	-19.533	10.249	8.049
43.875	43.797	0.673	-1.762	72.016	12.120	8.585	10.100	2.097	-19.533	10.285	8.531
44.000	43.921	0.678	-1.773	75.001	11.168	8.083	9.763	2.098	-19.565	10.387	8.757
44.125	44.046	0.682	-1.784	81.803	9.993	7.370	9.041	2.108	-19.597	10.434	8.746
44.250	44.170	0.686	-1.795	87.613	9.285	6.849	8.179	2.135	-19.601	10.296	8.559
44.375	44.295	0.690	-1.806	88.988	9.479	6.804	7.629	2.176	-19.596	9.989	8.380
