#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
24.625	24.625	-0.021	0.101	52.805	73.768	8.367	8.939	2.162	-12.256
24.750	24.750	-0.021	0.101	53.670	69.268	8.173	8.732	2.150	-11.939
24.875	24.875	-0.021	0.102	55.142	64.163	7.772	8.204	2.139	-11.597
25.000	25.000	-0.021	0.102	59.003	60.021	7.250	7.420	2.137	-11.140
25.125	25.125	-0.021	0.103	65.667	58.647	6.753	6.853	2.157	-10.628
25.250	25.250	-0.022	0.103	72.961	59.119	6.380	6.505	2.188	-10.063
25.375	25.375	-0.022	0.104	79.413	59.442	6.154	6.465	2.215	-9.452
25.500	25.500	-0.022	0.104	84.193	57.771	6.054	6.643	2.224	-8.890
25.625	25.625	-0.022	0.105	84.285	53.789	6.067	6.954	2.209	-8.454
25.750	25.750	-0.022	0.105	80.744	50.033	6.177	7.418	2.185	-8.178
25.875	25.875	-0.022	0.106	79.879	48.869	6.413	7.620	2.168	-8.046
26.000	26.000	-0.022	0.106	84.123	51.668	6.828	7.571	2.179	-8.028
26.125	26.125	-0.022	0.107	87.300	58.929	7.549	7.784	2.243	-8.145
26.250	26.250	-0.022	0.107	84.273	68.366	8.600	9.894	2.351	-8.406
26.375	26.375	-0.022	0.108	79.059	77.240	9.923	14.908	2.472	-8.701
26.500	26.500	-0.023	0.108	76.490	82.085	11.264	23.269	2.556	-8.986
26.625	26.625	-0.023	0.109	74.802	79.083	12.039	24.391	2.544	-9.219
26.750	26.750	-0.023	0.109	69.607	70.125	11.931	21.273	2.452	-9.412
26.875	26.875	-0.023	0.110	62.362	58.609	11.028	13.259	2.320	-9.586
27.000	27.000	-0.023	0.110	56.510	48.096	9.761	8.928	2.202	-9.804
27.125	27.125	-0.023	0.111	56.091	40.924	8.608	7.920	2.144	-9.944
27.250	27.250	-0.023	0.111	59.671	36.253	7.754	7.867	2.135	-9.927
27.375	27.375	-0.023	0.112	64.715	33.075	7.209	7.527	2.152	-9.896
27.500	27.500	-0.023	0.112	68.804	30.683	6.928	7.275	2.169	-9.795
27.625	27.625	-0.024	0.113	72.731	28.993	6.868	7.444	2.169	-9.667
27.750	27.750	-0.024	0.113	75.817	27.987	6.916	7.610	2.158	-9.544
27.875	27.875	-0.024	0.114	74.483	27.629	7.015	7.787	2.148	-9.408
28.000	28.000	-0.024	0.114	69.124	27.821	7.118	7.981	2.151	-9.250
28.125	28.125	-0.024	0.115	65.999	29.045	7.184	8.110	2.170	-9.188
