#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
33.750	0.000	0.000	15.720	28.294	0.000	0.000	0.000	0.000	0.000
33.875	0.000	0.000	14.800	28.803	0.000	0.000	0.000	0.000	0.000
34.000	0.000	0.000	14.205	29.312	0.000	0.000	0.000	0.000	0.000
34.125	0.000	0.000	13.297	29.821	0.000	0.000	0.000	0.000	0.000
34.250	0.000	0.000	12.293	30.330	0.000	0.000	0.000	0.000	0.000
34.375	0.000	0.000	11.497	30.840	0.000	0.000	0.000	0.000	0.000
34.500	0.000	0.000	10.900	30.835	0.000	0.000	0.000	0.000	0.000
34.625	0.000	0.000	10.326	28.712	0.000	0.000	0.000	0.000	0.000
34.750	0.000	0.000	9.478	26.590	0.000	0.000	0.000	0.000	0.000
34.875	0.000	0.000	8.486	24.467	0.000	0.000	0.000	0.000	0.000
35.000	0.000	0.000	7.768	22.344	0.000	0.000	0.000	0.000	0.000
35.125	0.000	0.000	4.791	20.222	0.000	0.000	0.000	0.000	0.000
35.250	0.000	0.000	5.035	18.099	0.000	0.000	0.000	0.000	0.000
35.375	0.000	0.000	5.479	15.976	0.000	0.000	0.000	0.000	0.000
35.500	0.000	0.000	5.947	13.854	0.000	0.000	0.000	0.000	0.000
35.625	0.000	0.000	6.549	11.731	0.000	0.000	0.000	0.000	0.000
35.750	0.000	0.000	7.066	9.608	0.000	0.000	0.000	0.000	0.000
35.875	0.000	0.000	8.076	10.941	0.000	0.000	0.000	0.000	0.000
36.000	0.000	0.000	8.948	12.475	0.000	0.000	0.000	0.000	0.000
36.125	0.000	0.000	9.808	14.009	0.000	0.000	0.000	0.000	0.000
36.250	0.000	0.000	9.906	15.543	0.000	0.000	0.000	0.000	0.000
36.375	0.000	0.000	9.507	15.527	0.000	0.000	0.000	0.000	0.000
36.500	0.000	0.000	8.804	14.820	0.000	0.000	0.000	0.000	0.000
36.625	0.000	0.000	8.374	14.113	0.000	0.000	0.000	0.000	0.000
36.750	0.000	0.000	7.885	13.406	0.000	0.000	0.000	0.000	0.000
36.875	0.000	0.000	7.094	12.699	0.000	0.000	0.000	0.000	0.000
37.000	0.000	0.000	6.454	11.992	0.000	0.000	0.000	0.000	0.000
37.125	0.000	0.000	5.674	11.745	0.000	0.000	0.000	0.000	0.000
37.250	0.000	0.000	5.068	11.728	0.000	0.000	0.000	0.000	0.000
37.375	0.000	0.000	4.603	10.127	0.000	0.000	0.000	0.000	0.000
37.500	0.000	0.000	4.707	8.458	0.000	0.000	0.000	0.000	0.000
37.625	0.000	0.000	4.888	7.915	0.000	0.000	0.000	0.000	0.000
37.750	0.000	0.000	5.105	7.131	0.000	0.000	0.000	0.000	0.000
37.875	0.000	0.000	5.510	6.614	0.000	0.000	0.000	0.000	0.000
38.000	0.000	0.000	5.983	6.377	0.000	0.000	0.000	0.000	0.000
38.125	0.000	0.000	8.879	6.049	0.000	0.000	0.000	0.000	0.000
38.250	0.000	0.000	11.736	5.694	0.000	0.000	0.000	0.000	0.000
38.375	0.000	0.000	12.665	6.425	0.000	0.000	0.000	0.000	0.000
38.500	0.000	0.000	12.150	7.526	0.000	0.000	0.000	0.000	0.000
38.625	0.000	0.000	11.202	8.627	0.000	0.000	0.000	0.000	0.000
38.750	0.000	0.000	10.747	9.729	0.000	0.000	0.000	0.000	0.000
38.875	0.000	0.000	10.295	10.127	0.000	0.000	0.000	0.000	0.000
39.000	0.000	0.000	9.808	9.315	0.000	0.000	0.000	0.000	0.000
39.125	0.000	0.000	9.299	8.504	0.000	0.000	0.000	0.000	0.000
39.250	0.000	0.000	8.862	7.692	0.000	0.000	0.000	0.000	0.000
39.375	0.000	0.000	8.468	6.880	0.000	0.000	0.000	0.000	0.000
39.500	0.000	0.000	8.348	6.308	0.000	0.000	0.000	0.000	0.000
39.625	0.000	0.000	8.347	6.211	0.000	0.000	0.000	0.000	0.000
39.750	0.000	0.000	8.345	6.111	0.000	0.000	0.000	0.000	0.000
39.875	0.000	0.000	8.344	6.070	0.000	0.000	0.000	0.000	0.000
40.000	0.000	0.000	8.710	6.477	0.000	0.000	0.000	0.000	0.000
40.125	0.000	0.000	8.834	6.851	0.000	0.000	0.000	0.000	0.000
40.250	0.000	0.000	8.964	7.275	0.000	0.000	0.000	0.000	0.000
40.375	0.000	0.000	8.786	7.890	0.000	0.000	0.000	0.000	0.000
40.500	0.000	0.000	8.584	8.876	0.000	0.000	0.000	0.000	0.000
40.625	0.000	0.000	8.648	9.852	0.000	0.000	0.000	0.000	0.000
40.750	0.000	0.000	8.801	10.891	0.000	0.000	0.000	0.000	0.000
40.875	0.000	0.000	8.998	11.895	0.000	0.000	0.000	0.000	0.000
41.000	0.000	0.000	9.227	13.817	0.000	0.000	0.000	0.000	0.000
41.125	0.000	0.000	9.576	14.094	0.000	0.000	0.000	0.000	0.000
41.250	0.000	0.000	9.923	14.966	0.000	0.000	0.000	0.000	0.000
41.375	0.000	0.000	10.653	15.286	0.000	0.000	0.000	0.000	0.000
41.500	0.000	0.000	11.710	15.458	0.000	0.000	0.000	0.000	0.000
41.625	0.000	0.000	12.767	15.906	0.000	0.000	0.000	0.000	0.000
41.750	0.000	0.000	13.824	17.387	0.000	0.000	0.000	0.000	0.000
41.875	0.000	0.000	14.882	18.459	0.000	0.000	0.000	0.000	0.000
42.000	0.000	0.000	15.939	19.091	0.000	0.000	0.000	0.000	0.000
42.125	0.000	0.000	16.484	17.907	0.000	0.000	0.000	0.000	0.000
42.250	0.000	0.000	16.164	16.751	0.000	0.000	0.000	0.000	0.000
42.375	0.000	0.000	16.207	16.226	0.000	0.000	0.000	0.000	0.000
42.500	0.000	0.000	16.321	15.708	0.000	0.000	0.000	0.000	0.000
42.625	0.000	0.000	16.451	15.477	0.000	0.000	0.000	0.000	0.000
42.750	0.000	0.000	16.580	16.208	0.000	0.000	0.000	0.000	0.000
42.875	0.000	0.000	16.710	17.427	0.000	0.000	0.000	0.000	0.000
43.000	0.000	0.000	16.840	18.934	0.000	0.000	0.000	0.000	0.000
43.125	0.000	0.000	16.816	19.186	0.000	0.000	0.000	0.000	0.000
43.250	0.000	0.000	16.365	19.841	0.000	0.000	0.000	0.000	0.000
43.375	0.000	0.000	15.914	20.313	0.000	0.000	0.000	0.000	0.000
43.500	0.000	0.000	15.493	20.236	0.000	0.000	0.000	0.000	0.000
43.625	0.000	0.000	15.061	20.034	0.000	0.000	0.000	0.000	0.000
43.750	0.000	0.000	14.615	19.818	0.000	0.000	0.000	0.000	0.000
43.875	0.000	0.000	14.379	19.606	0.000	0.000	0.000	0.000	0.000
44.000	0.000	0.000	14.508	20.008	0.000	0.000	0.000	0.000	0.000
44.125	0.000	0.000	14.693	20.532	0.000	0.000	0.000	0.000	0.000
44.250	0.000	0.000	14.888	21.121	0.000	0.000	0.000	0.000	0.000
44.375	0.000	0.000	15.083	21.393	0.000	0.000	0.000	0.000	0.000
44.500	0.000	0.000	15.278	21.241	0.000	0.000	0.000	0.000	0.000
