#Depth	TVD	DX	DY	DEN	GR	RT	RI	RXO	SP
45.125	45.073	-1.131	-0.739	2.104	68.683	12.143	10.561	10.409	-17.221
45.250	45.197	-1.139	-0.743	2.096	67.091	12.071	10.408	10.479	-17.255
45.375	45.322	-1.147	-0.748	2.091	65.084	12.104	10.319	10.529	-17.251
45.500	45.447	-1.155	-0.753	2.091	63.788	12.165	10.277	10.530	-17.240
45.625	45.571	-1.163	-0.758	2.097	62.903	12.145	10.222	10.462	-17.231
45.750	45.696	-1.171	-0.762	2.109	63.259	11.989	10.101	10.358	-17.169
45.875	45.820	-1.178	-0.767	2.123	65.919	11.700	9.903	10.261	-17.080
46.000	45.945	-1.186	-0.772	2.137	70.725	11.336	9.656	10.228	-17.027
46.125	46.070	-1.194	-0.777	2.150	74.911	11.004	9.428	9.967	-16.975
46.250	46.194	-1.202	-0.781	2.155	75.468	10.786	9.279	9.706	-16.888
46.375	46.319	-1.210	-0.786	2.146	72.776	10.708	9.232	9.562	-16.806
46.500	46.443	-1.218	-0.791	2.123	69.480	10.745	9.277	9.553	-16.742
46.625	46.568	-1.226	-0.796	2.095	68.466	10.828	9.371	9.729	-16.703
46.750	46.692	-1.233	-0.800	2.079	68.017	10.869	9.441	9.985	-16.746
46.875	46.817	-1.241	-0.805	2.085	66.883	10.814	9.427	9.929	-16.842
47.000	46.942	-1.249	-0.810	2.111	66.915	10.650	9.302	9.592	-16.920
47.125	47.066	-1.257	-0.815	2.147	70.351	10.416	9.082	9.316	-16.956
47.250	47.191	-1.265	-0.820	2.172	73.830	10.219	8.861	8.936	-16.995
47.375	47.315	-1.273	-0.824	2.175	73.890	10.144	8.716	8.491	-17.039
47.500	47.440	-1.281	-0.829	2.157	71.656	10.233	8.696	8.434	-17.041
47.625	47.564	-1.289	-0.834	2.128	70.632	10.475	8.813	8.581	-16.956
47.750	47.689	-1.296	-0.839	2.107	71.399	10.753	8.977	8.905	-16.849
47.875	47.814	-1.304	-0.843	2.102	72.418	10.979	9.105	9.503	-16.726
48.000	47.938	-1.312	-0.848	2.114	76.086	11.096	9.135	9.818	-16.550
48.125	48.063	-1.320	-0.853	2.136	82.691	11.091	9.043	8.922	-16.350
48.250	48.187	-1.328	-0.858	2.156	87.642	11.051	8.908	8.605	-16.194
48.375	48.312	-1.336	-0.862	2.173	87.891	11.066	8.818	8.894	-16.091
48.500	48.437	-1.344	-0.867	2.182	84.200	11.212	8.845	9.560	-16.023
48.625	48.561	-1.351	-0.872	2.178	79.838	11.549	9.047	10.157	-15.939
48.750	48.686	-1.359	-0.877	2.163	74.791	12.019	9.372	10.319	-15.799
