#Depth	GR	RT	RI	RXO	DEN	SP
99.750	53.248	29.373	28.209	15.476	2.158	-1.312
99.875	52.941	28.969	27.771	15.142	2.160	-1.175
100.000	52.857	28.598	27.349	15.103	2.159	-1.040
100.125	53.571	28.273	26.972	15.040	2.158	-0.912
100.250	55.083	27.929	26.641	14.817	2.162	-0.798
100.375	57.576	27.472	26.319	15.193	2.164	-0.711
100.500	58.034	26.879	25.901	16.050	2.165	-0.651
100.625	57.727	26.353	25.556	17.062	2.161	-0.618
100.750	55.568	26.013	25.374	17.124	2.153	-0.613
100.875	51.943	25.857	25.348	16.143	2.144	-0.634
101.000	51.453	25.728	25.359	16.348	2.139	-0.678
101.125	51.453	25.541	25.282	16.173	2.145	-0.745
101.250	53.488	25.021	24.880	14.598	2.162	-0.825
101.375	55.366	24.397	24.340	13.409	2.180	-0.915
101.500	56.032	23.851	23.851	13.043	2.194	-1.013
101.625	55.641	23.547	23.589	13.335	2.199	-1.114
101.750	55.649	23.648	23.706	14.050	2.187	-1.215
101.875	56.148	24.271	24.341	15.672	2.170	-1.313
102.000	54.204	25.207	25.283	16.585	2.150	-1.403
102.125	54.170	26.252	26.312	17.005	2.138	-1.484
102.250	54.835	27.094	27.093	17.556	2.135	-1.552
102.375	55.309	27.375	27.279	18.462	2.136	-1.608
102.500	59.242	26.775	26.609	18.883	2.136	-1.652
102.625	59.907	25.681	25.378	16.565	2.135	-1.683
102.750	62.065	24.493	24.120	14.819	2.139	-1.711
102.875	65.173	23.966	23.584	14.369	2.153	-1.740
103.000	65.268	24.740	24.322	15.398	2.177	-1.776
103.125	61.191	27.472	26.831	19.150	2.212	-1.824
103.250	59.171	32.935	31.665	29.386	2.278	-1.889
103.375	55.681	43.891	41.094	66.354	2.388	-1.980
103.500	55.043	57.644	52.561	110.940	2.504	-2.096
103.625	54.632	57.283	52.219	126.030	2.589	-2.235
103.750	56.949	42.491	40.041	106.498	2.623	-2.396
103.875	63.756	23.180	23.917	63.936	2.599	-2.578
104.000	71.684	14.304	14.938	15.923	2.525	-2.777
104.125	76.837	10.943	10.925	7.093	2.428	-2.993
104.250	74.110	9.430	9.087	7.706	2.342	-3.217
104.375	72.804	9.156	8.590	10.374	2.287	-3.443
104.500	75.480	9.652	8.831	11.124	2.262	-3.666
104.625	80.314	10.396	9.305	9.120	2.259	-3.880
104.750	82.708	10.721	9.560	6.717	2.267	-4.081
104.875	79.550	10.030	9.123	7.203	2.286	-4.254
105.000	74.490	9.577	8.811	7.332	2.305	-4.399
105.125	68.801	9.792	9.119	7.582	2.332	-4.515
105.250	64.788	10.887	10.174	8.421	2.373	-4.601
105.375	62.750	12.752	11.723	10.933	2.430	-4.657
105.500	58.829	14.850	13.108	17.159	2.497	-4.686
105.625	58.663	15.070	12.882	24.796	2.532	-4.691
