#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
248.125	2.415	-6.995	291.139	10.496	65.755	12.668	10.019	12.258	291.139
248.250	2.374	-6.663	219.947	8.270	69.617	8.612	6.863	7.257	219.947
248.375	2.344	-6.413	148.038	7.396	69.386	6.456	5.418	6.183	148.038
248.500	2.337	-6.261	90.185	7.103	64.467	5.571	5.088	6.276	90.185
248.625	2.347	-6.231	56.077	7.066	57.925	5.623	5.509	6.506	56.077
248.750	2.361	-6.278	38.078	7.105	52.823	6.112	6.202	6.830	38.078
248.875	2.377	-6.402	29.272	7.232	50.576	6.861	6.796	7.225	29.272
249.000	2.394	-6.581	24.753	7.482	51.133	7.428	7.376	7.671	24.753
249.125	2.410	-6.771	22.286	7.837	53.483	7.783	7.862	8.192	22.286
249.250	2.420	-6.939	20.546	8.179	56.028	8.063	8.258	8.531	20.546
249.375	2.421	-7.108	19.165	8.459	57.326	8.295	8.572	8.728	19.165
249.500	2.421	-7.267	17.974	8.722	56.464	8.482	8.800	8.801	17.974
249.625	2.431	-7.387	16.898	9.057	53.471	8.632	8.939	8.979	16.898
249.750	2.449	-7.470	15.873	9.422	49.815	8.782	9.029	9.357	15.873
249.875	2.468	-7.525	14.890	9.705	47.387	8.933	9.085	9.835	14.890
250.000	2.479	-7.569	13.965	9.838	46.477	9.049	9.091	10.039	13.965
250.125	2.482	-7.574	13.115	9.830	46.620	9.053	8.997	9.976	13.115
250.250	2.479	-7.555	12.324	9.764	47.054	8.929	8.798	9.641	12.324
250.375	2.473	-7.513	11.591	9.658	48.451	8.706	8.519	9.360	11.591
250.500	2.462	-7.419	10.931	9.491	49.989	8.440	8.205	9.179	10.931
250.625	2.443	-7.329	10.391	9.250	49.640	8.201	7.904	9.060	10.391
250.750	2.419	-7.225	9.974	9.027	48.023	8.024	7.651	8.947	9.974
250.875	2.396	-7.106	9.686	8.896	46.573	7.919	7.460	8.948	9.686
251.000	2.377	-6.982	9.516	8.820	46.880	7.865	7.325	8.930	9.516
251.125	2.365	-6.859	9.439	8.636	48.783	7.799	7.208	8.983	9.439
251.250	2.357	-6.739	9.365	8.306	49.614	7.655	7.046	8.990	9.365
251.375	2.353	-6.610	9.228	7.940	49.321	7.420	6.814	8.546	9.228
251.500	2.350	-6.520	9.006	7.697	49.851	7.165	6.553	7.491	9.006
251.625	2.352	-6.434	8.727	7.698	52.394	7.054	6.385	7.443	8.727
251.750	2.360	-6.363	8.461	7.833	53.688	7.155	6.381	7.890	8.461
251.875	2.371	-6.296	8.231	7.977	53.425	7.432	6.534	8.083	8.231
252.000	2.381	-6.218	8.020	8.049	53.629	7.757	6.763	7.864	8.020
252.125	2.387	-6.130	7.782	8.035	57.248	7.939	6.925	7.746	7.782
252.250	2.389	-6.063	7.512	7.979	63.203	7.929	6.956	7.602	7.512
252.375	2.385	-6.033	7.247	7.910	67.266	7.797	6.890	7.399	7.247
252.500	2.379	-5.988	7.038	7.887	68.404	7.675	6.817	7.303	7.038
252.625	2.376	-5.960	6.941	7.977	67.742	7.674	6.827	7.553	6.941
252.750	2.375	-5.922	6.947	8.107	66.697	7.769	6.914	7.936	6.947
252.875	2.377	-5.898	7.037	8.170	65.584	7.894	7.036	8.233	7.037
253.000	2.381	-5.899	7.180	8.133	64.932	7.977	7.128	8.403	7.180
253.125	2.386	-5.924	7.347	8.049	65.026	7.963	7.127	8.172	7.347
253.250	2.387	-5.922	7.507	7.959	64.338	7.885	7.053	8.038	7.507
253.375	2.381	-5.883	7.619	7.827	63.288	7.779	6.940	8.107	7.619
