#Depth	DEN	GR	RT	RI	RXO	SP
71.125	2.198	48.350	10.257	8.735	8.196	-17.456
71.250	2.181	48.988	9.752	8.133	7.690	-17.638
71.375	2.182	49.721	9.735	7.961	7.651	-17.734
71.500	2.193	51.500	9.950	8.055	7.881	-17.708
71.625	2.203	53.831	10.148	8.220	8.192	-17.555
71.750	2.206	55.112	10.193	8.327	8.434	-17.281
71.875	2.203	54.943	10.042	8.307	8.491	-16.914
72.000	2.200	56.037	9.716	8.138	8.288	-16.502
72.125	2.206	59.610	9.330	7.881	7.907	-16.122
72.250	2.228	63.059	8.989	7.613	7.571	-15.791
72.375	2.265	64.499	8.759	7.394	7.575	-15.542
72.500	2.303	63.346	8.664	7.257	7.910	-15.426
72.625	2.323	61.199	8.643	7.175	8.489	-15.424
72.750	2.310	59.342	8.620	7.107	9.143	-15.538
72.875	2.268	58.607	8.542	7.015	9.261	-15.729
73.000	2.215	60.210	8.386	6.874	8.437	-15.964
73.125	2.170	62.368	8.190	6.704	7.750	-16.197
73.250	2.139	63.789	8.002	6.534	7.456	-16.415
73.375	2.122	63.896	7.851	6.390	7.347	-16.613
73.500	2.114	62.565	7.752	6.297	7.293	-16.774
73.625	2.111	60.617	7.684	6.245	7.281	-16.893
73.750	2.108	59.650	7.633	6.220	7.306	-16.979
73.875	2.108	60.540	7.598	6.209	7.377	-17.061
74.000	2.108	60.883	7.582	6.202	7.477	-17.149
74.125	2.108	59.735	7.577	6.194	7.534	-17.226
74.250	2.107	58.736	7.577	6.182	7.547	-17.288
74.375	2.106	59.743	7.573	6.170	7.560	-17.342
74.500	2.105	60.867	7.564	6.157	7.565	-17.386
74.625	2.103	59.206	7.558	6.143	7.575	-17.434
74.750	2.102	56.002	7.565	6.131	7.559	-17.483
74.875	2.102	54.434	7.590	6.124	7.567	-17.527
75.000	2.105	55.902	7.634	6.127	7.583	-17.551
75.125	2.112	56.751	7.683	6.142	7.612	-17.559
75.250	2.121	54.494	7.726	6.168	7.628	-17.545
75.375	2.130	51.203	7.756	6.199	7.589	-17.503
75.500	2.135	48.927	7.780	6.229	7.497	-17.453
75.625	2.137	48.047	7.806	6.253	7.433	-17.390
75.750	2.137	48.534	7.845	6.269	7.447	-17.298
75.875	2.137	50.896	7.891	6.274	7.544	-17.182
76.000	2.135	54.520	7.936	6.267	7.609	-17.075
76.125	2.129	56.855	7.969	6.251	7.617	-17.002
76.250	2.114	57.261	7.989	6.230	7.593	-16.948
76.375	2.091	56.239	8.004	6.216	7.541	-16.889
76.500	2.061	54.061	8.038	6.225	7.471	-16.803
76.625	2.026	51.677	8.124	6.278	7.420	-16.715
76.750	1.989	50.900	8.294	6.396	7.438	-16.630
76.875	1.959	51.300	8.579	6.599	7.548	-16.519
77.000	1.965	50.530	8.991	6.897	7.650	-16.357
77.125	2.022	48.965	9.456	7.246	7.606	-16.144
77.250	2.128	48.244	9.862	7.569	7.354	-15.932
