#Depth	GR	RT	RI	RXO	AC	SP	R2M	R025	DEN
220.000	80.603	4.926	3.690	4.498	392.244	-20.660	4.457	3.175	2.252
220.125	83.831	5.106	3.817	4.879	388.963	-20.484	4.436	3.296	2.243
220.250	86.901	5.348	3.973	5.107	385.955	-20.346	4.442	3.346	2.238
220.375	87.675	5.583	4.112	5.064	381.900	-20.279	4.443	3.349	2.234
220.500	89.166	5.680	4.163	5.048	383.494	-20.250	4.481	3.370	2.233
220.625	85.441	5.541	4.082	4.750	382.280	-20.401	4.590	3.424	2.234
220.750	82.272	5.256	3.916	4.494	386.532	-20.502	4.530	3.322	2.240
220.875	80.166	4.974	3.751	4.398	394.452	-20.656	4.533	2.965	2.253
221.000	79.550	4.795	3.642	4.389	401.066	-20.807	4.602	2.607	2.269
221.125	80.255	4.766	3.618	4.411	402.694	-20.897	4.644	2.479	2.284
221.250	81.000	4.874	3.681	4.644	401.401	-21.027	4.600	2.412	2.291
221.375	81.497	5.098	3.827	5.061	389.895	-21.023	4.544	2.597	2.286
221.500	87.596	5.285	3.955	5.078	384.495	-21.123	4.422	2.710	2.279
221.625	93.636	5.393	4.049	4.941	381.033	-21.234	4.387	2.879	2.272
221.750	98.066	5.430	4.109	4.909	381.427	-21.300	4.394	3.023	2.267
221.875	100.053	5.436	4.148	5.099	385.174	-21.288	4.364	3.030	2.266
222.000	96.080	5.458	4.192	5.342	380.804	-21.179	4.342	2.932	2.263
222.125	97.470	5.529	4.233	5.448	384.373	-21.111	4.300	2.751	2.264
222.250	98.821	5.569	4.244	5.205	384.419	-21.010	4.401	2.743	2.269
222.375	101.146	5.510	4.192	4.783	384.747	-20.888	4.406	2.783	2.278
222.500	100.947	5.332	4.066	4.363	385.348	-20.805	4.281	2.845	2.286
222.625	96.258	5.062	3.881	4.147	384.951	-20.809	4.117	2.931	2.287
222.750	92.682	4.768	3.670	4.371	383.586	-20.881	4.047	3.008	2.279
222.875	89.354	4.580	3.524	4.476	391.257	-20.792	4.174	2.917	2.272
223.000	88.490	4.484	3.449	4.169	391.424	-20.758	4.302	2.610	2.270
223.125	86.901	4.461	3.426	4.103	392.014	-20.777	4.382	2.418	2.271
223.250	84.457	4.475	3.433	4.250	390.830	-20.770	4.511	2.305	2.272
223.375	82.758	4.493	3.447	4.297	386.447	-20.691	4.696	2.097	2.267
223.500	83.801	4.490	3.451	4.040	389.144	-20.649	4.611	1.713	2.259
223.625	85.788	4.448	3.434	4.134	390.512	-20.728	4.716	1.659	2.257
223.750	84.993	4.404	3.411	4.109	394.006	-20.849	4.620	1.622	2.267
223.875	82.878	4.370	3.393	3.993	394.475	-20.934	4.509	1.604	2.282
224.000	80.464	4.343	3.382	3.902	393.107	-21.052	4.359	1.663	2.297
224.125	78.417	4.309	3.374	3.927	392.441	-21.256	4.188	1.877	2.305
