#Depth	SP	GR	RI	RT	RXO	DEN
104.250	-20.061	70.110	10.787	11.546	11.386	2.134
104.375	-19.427	70.433	10.001	10.978	11.035	2.123
104.500	-18.573	72.800	9.779	11.001	10.442	2.117
104.625	-17.360	73.308	9.690	10.950	9.776	2.114
104.750	-16.116	71.463	9.304	10.407	8.613	2.110
104.875	-15.445	68.866	8.599	9.488	7.481	2.105
105.000	-15.380	68.017	7.874	8.611	6.545	2.103
105.125	-15.475	67.723	7.431	8.118	6.115	2.101
105.250	-15.567	67.304	7.276	7.938	5.954	2.096
105.375	-15.521	67.926	7.246	7.877	5.995	2.087
105.500	-15.460	67.389	7.278	7.891	6.112	2.084
105.625	-15.376	66.007	7.315	7.934	6.322	2.085
105.750	-15.349	64.153	7.327	7.963	6.786	2.089
105.875	-15.712	64.695	7.293	7.961	7.490	2.091
106.000	-16.333	66.265	7.220	7.914	8.252	2.095
106.125	-17.329	65.693	7.136	7.843	8.778	2.099
106.250	-18.596	64.485	7.051	7.789	8.854	2.095
106.375	-19.580	62.745	6.986	7.766	8.588	2.087
106.500	-20.141	63.011	6.907	7.739	8.114	2.085
106.625	-20.457	64.565	6.815	7.701	7.518	2.090
106.750	-20.480	66.955	6.702	7.632	6.838	2.091
106.875	-20.266	69.114	6.574	7.547	6.327	2.091
107.000	-19.709	70.214	6.477	7.496	6.229	2.092
107.125	-19.244	72.472	6.414	7.478	6.396	2.099
107.250	-19.049	74.280	6.390	7.500	6.553	2.105
107.375	-19.290	76.812	6.379	7.514	6.548	2.123
107.500	-19.667	77.657	6.320	7.450	6.367	2.152
107.625	-20.289	78.155	6.194	7.293	6.159	2.187
107.750	-21.224	78.726	6.017	7.080	6.098	2.201
107.875	-22.174	80.608	5.869	6.913	6.125	2.194
108.000	-22.563	82.552	5.793	6.854	6.104	2.175
108.125	-22.181	82.213	5.824	6.934	6.071	2.160
108.250	-21.102	79.993	5.982	7.176	6.186	2.149
108.375	-19.992	77.991	6.209	7.487	6.438	2.140
108.500	-19.446	76.457	6.435	7.761	6.660	2.130
108.625	-19.221	74.655	6.584	7.916	6.715	2.121
108.750	-19.175	73.336	6.614	7.904	6.582	2.115
108.875	-19.381	71.637	6.553	7.788	6.402	2.111
109.000	-20.159	70.652	6.436	7.626	6.322	2.111
109.125	-21.083	69.274	6.305	7.469	6.332	2.115
109.250	-21.682	70.805	6.205	7.354	6.299	2.127
109.375	-21.487	74.336	6.177	7.346	6.167	2.136
109.500	-20.594	79.039	6.252	7.462	6.039	2.144
109.625	-19.229	80.716	6.397	7.679	6.056	2.148
109.750	-17.985	80.006	6.556	7.914	6.244	2.154
109.875	-17.199	78.976	6.618	8.006	6.499	2.158
110.000	-16.894	78.652	6.490	7.835	6.677	2.167
110.125	-16.871	79.100	6.185	7.418	6.645	2.178
110.250	-17.066	80.070	5.815	6.923	6.338	2.187
110.375	-17.794	82.362	5.497	6.516	5.927	2.183
110.500	-18.645	86.171	5.342	6.345	5.720	2.174
110.625	-19.282	88.624	5.368	6.423	5.798	2.163
110.750	-19.671	89.410	5.543	6.678	5.963	2.149
110.875	-20.045	86.983	5.783	6.987	6.043	2.130
111.000	-20.514	83.671	5.996	7.230	6.063	2.118
111.125	-21.006	78.316	6.143	7.377	6.071	2.114
111.250	-21.342	73.219	6.246	7.468	6.062	2.118
111.375	-21.426	69.055	6.328	7.538	6.091	2.118
111.500	-21.216	69.406	6.388	7.571	6.259	2.112
111.625	-20.754	70.329	6.442	7.588	6.566	2.100
111.750	-20.167	70.741	6.508	7.627	6.906	2.096
111.875	-19.808	69.269	6.622	7.733	7.175	2.102
112.000	-19.683	68.452	6.773	7.909	7.622	2.115
112.125	-19.763	67.249	6.927	8.101	8.579	2.117
112.250	-20.239	66.770	7.049	8.256	9.760	2.112
112.375	-20.815	66.616	7.087	8.307	10.248	2.100
112.500	-21.144	68.525	7.017	8.216	9.575	2.097
112.625	-21.220	68.597	6.882	8.054	8.393	2.096
112.750	-20.945	68.808	6.726	7.869	7.489	2.095
112.875	-20.472	69.039	6.601	7.731	7.007	2.089
113.000	-19.900	71.611	6.546	7.682	6.929	2.085
113.125	-19.198	74.590	6.536	7.674	7.013	2.084
113.250	-18.527	76.225	6.552	7.684	7.167	2.084
113.375	-18.199	77.206	6.598	7.735	7.317	2.084
113.500	-17.996	75.825	6.721	7.877	7.531	2.090
113.625	-17.581	74.759	6.888	8.083	7.711	2.107
113.750	-16.970	71.406	7.058	8.293	7.895	2.124
113.875	-16.551	67.852	7.195	8.455	8.215	2.130
114.000	-16.066	64.476	7.234	8.490	8.534	2.119
114.125	-15.650	63.114	7.199	8.421	8.570	2.107
114.250	-15.330	64.017	7.102	8.288	8.136	2.100
114.375	-15.337	66.051	6.989	8.150	7.554	2.099
114.500	-15.593	67.602	6.905	8.065	7.144	2.094
114.625	-15.872	67.630	6.884	8.069	6.949	2.090
114.750	-16.268	67.581	6.901	8.102	6.922	2.085
114.875	-16.627	69.764	6.921	8.135	6.922	2.088
115.000	-16.974	72.497	6.921	8.130	6.977	2.094
115.125	-17.138	74.964	6.893	8.091	7.104	2.099
115.250	-16.993	75.701	6.842	8.025	7.177	2.103
115.375	-16.657	75.244	6.772	7.944	7.152	2.106
115.500	-16.291	73.068	6.705	7.865	7.033	2.107
115.625	-15.925	71.284	6.640	7.789	6.963	2.102
115.750	-15.631	70.019	6.589	7.726	6.929	2.091
115.875	-15.459	69.326	6.569	7.694	6.922	2.085
116.000	-15.601	68.171	6.585	7.713	6.929	2.090
116.125	-16.070	67.877	6.647	7.798	6.956	2.100
116.250	-16.554	68.487	6.765	7.949	7.026	2.104
116.375	-16.650	70.063	6.897	8.113	7.113	2.101
116.500	-16.276	70.821	6.982	8.221	7.201	2.093
116.625	-16.047	71.872	6.971	8.205	7.316	2.090
116.750	-16.138	73.663	6.865	8.079	7.426	2.084
116.875	-16.413	75.505	6.714	7.889	7.477	2.078
117.000	-16.684	75.929	6.554	7.698	7.383	2.072
117.125	-16.833	75.363	6.430	7.547	7.189	2.070
117.250	-16.878	75.370	6.362	7.485	6.985	2.073
117.375	-16.962	75.371	6.357	7.509	6.868	2.082
117.500	-16.878	74.679	6.398	7.590	6.773	2.093
117.625	-16.741	71.925	6.449	7.674	6.707	2.099
117.750	-16.615	69.516	6.474	7.704	6.647	2.096
117.875	-16.695	66.801	6.489	7.714	6.640	2.086
118.000	-16.882	66.860	6.498	7.717	6.640	2.079
118.125	-17.138	68.620	6.509	7.726	6.667	2.075
118.250	-17.493	70.688	6.519	7.739	6.720	2.076
118.375	-17.954	72.240	6.504	7.723	6.787	2.076
118.500	-18.473	74.639	6.440	7.661	6.793	2.077
118.625	-18.877	78.472	6.361	7.579	6.734	2.077
118.750	-18.964	81.172	6.259	7.454	6.584	2.079
118.875	-18.964	81.979	6.144	7.294	6.374	2.090
119.000	-18.990	80.524	6.052	7.148	6.156	2.112
119.125	-19.238	79.461	5.975	7.004	5.999	2.139
119.250	-19.498	81.021	5.928	6.902	5.916	2.148
119.375	-19.215	83.693	5.924	6.869	5.875	2.144
119.500	-18.288	87.446	6.087	7.072	5.898	2.143
119.625	-17.697	91.348	6.359	7.427	6.839	2.175
119.750	-17.510	99.300	6.577	7.734	12.124	2.243
119.875	-17.140	110.713	6.576	7.775	22.209	2.309
120.000	-16.343	125.205	6.207	7.325	29.156	2.327
120.125	-15.576	136.324	5.625	6.611	25.580	2.300
120.250	-14.889	137.733	5.016	5.855	14.775	2.266
120.375	-13.936	131.233	4.500	5.237	6.885	2.254
120.500	-13.055	120.531	4.192	4.900	4.724	2.255
120.625	-12.601	111.986	4.086	4.808	4.544	2.253
120.750	-12.929	104.298	4.212	4.974	4.773	2.249
120.875	-13.676	97.416	4.532	5.351	5.210	2.238
121.000	-14.565	91.076	5.026	5.914	5.680	2.215
121.125	-15.187	85.379	5.629	6.600	6.116	2.185
121.250	-15.645	79.735	6.247	7.285	6.397	2.162
121.375	-15.874	73.933	6.748	7.818	6.414	2.147
121.500	-16.091	70.524	7.052	8.131	6.370	2.135
121.625	-16.438	68.426	7.158	8.232	6.584	2.120
121.750	-17.171	68.841	7.034	8.077	6.922	2.111
121.875	-18.330	68.940	6.757	7.758	7.011	2.113
122.000	-20.081	69.444	6.409	7.358	6.718	2.127
122.125	-22.137	69.628	6.074	6.982	6.155	2.137
122.250	-23.724	72.981	5.871	6.777	5.448	2.121
122.375	-24.457	76.925	5.813	6.750	4.868	2.082
122.500	-24.594	80.889	5.901	6.913	4.832	2.043
122.625	-24.388	81.598	6.129	7.222	5.357	2.022
122.750	-23.633	82.710	6.430	7.605	6.078	2.023
122.875	-22.389	81.527	6.708	7.943	6.537	2.037
123.000	-21.237	80.605	6.880	8.144	6.523	2.056
123.125	-20.230	78.712	6.932	8.206	6.265	2.076
123.250	-19.536	78.768	6.904	8.172	6.156	2.092
123.375	-19.047	79.435	6.804	8.046	6.403	2.106
123.500	-18.620	79.914	6.660	7.855	6.800	2.117
123.625	-17.903	79.923	6.528	7.613	7.170	2.124
123.750	-16.194	77.703	6.561	7.523	7.387	2.130
123.875	-13.341	75.912	7.046	7.982	8.584	2.162
124.000	-10.888	73.873	8.448	9.584	12.778	2.242
124.125	-10.274	74.006	10.644	12.160	20.583	2.356
124.250	-10.426	73.803	13.550	15.548	30.608	2.445
124.375	-10.685	73.627	16.350	18.681	38.254	2.466
