#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
174.750	2.455	-12.380	21.565	15.185	21.565	81.897	16.078	15.028	15.830
174.875	2.429	-11.848	21.534	15.142	21.534	81.090	15.933	14.842	16.684
175.000	2.411	-11.250	21.590	15.066	21.590	80.398	15.846	14.649	16.794
175.125	2.414	-10.618	21.712	15.143	21.712	79.220	16.001	14.595	15.327
175.250	2.434	-9.992	21.971	15.506	21.971	78.153	16.524	14.825	14.643
175.375	2.466	-9.421	22.539	16.135	22.539	78.675	17.467	15.438	14.364
175.500	2.504	-8.923	23.606	16.784	23.606	80.769	18.716	16.401	15.465
175.625	2.542	-8.522	25.332	17.090	25.332	83.722	19.890	17.473	19.606
175.750	2.570	-8.208	27.252	17.000	27.252	84.492	20.501	18.221	23.610
175.875	2.584	-7.952	28.690	16.573	28.690	82.135	20.252	18.324	23.911
176.000	2.581	-7.767	29.038	15.988	29.038	79.796	19.198	17.714	18.942
176.125	2.564	-7.632	27.857	15.464	27.857	80.914	17.732	16.587	16.653
176.250	2.548	-7.534	25.809	15.073	25.809	82.639	16.422	15.421	14.742
176.375	2.542	-7.445	23.669	14.815	23.669	81.107	15.529	14.481	13.041
176.500	2.545	-7.363	22.049	14.650	22.049	77.662	15.106	13.879	12.062
176.625	2.553	-7.335	21.248	14.652	21.248	75.728	15.124	13.657	12.527
176.750	2.556	-7.352	20.919	14.823	20.919	75.153	15.416	13.705	13.248
176.875	2.550	-7.416	20.763	15.087	20.763	75.418	15.953	14.004	13.804
177.000	2.544	-7.507	20.699	15.427	20.699	77.519	16.754	14.573	13.002
177.125	2.548	-7.609	21.001	15.872	21.001	79.180	17.812	15.432	13.726
177.250	2.563	-7.714	21.912	16.232	21.912	78.812	18.847	16.367	14.889
177.375	2.583	-7.828	23.452	16.299	23.452	77.979	19.466	17.056	16.939
177.500	2.597	-7.945	25.210	16.024	25.210	78.363	19.284	17.135	20.887
177.625	2.596	-8.025	26.296	15.524	26.296	79.041	18.103	16.316	21.938
177.750	2.584	-8.078	26.233	15.029	26.233	79.391	16.534	15.009	17.535
177.875	2.567	-8.122	25.030	14.696	25.030	79.737	15.193	13.710	13.084
178.000	2.551	-8.163	23.222	14.707	23.222	80.237	14.562	12.875	10.774
178.125	2.537	-8.219	21.836	15.299	21.836	80.929	15.023	12.918	11.842
178.250	2.524	-8.272	21.543	16.331	21.543	81.023	16.352	13.755	14.421
178.375	2.511	-8.315	22.429	17.574	22.429	79.625	18.272	15.226	17.313
178.500	2.500	-8.344	24.136	18.705	24.136	78.588	20.357	17.029	20.069
178.625	2.497	-8.354	26.073	19.353	26.073	81.385	22.064	18.757	21.996
178.750	2.501	-8.364	27.752	19.514	27.752	85.979	23.204	20.149	21.408
178.875	2.512	-8.370	29.177	19.263	29.177	88.551	23.806	21.129	20.263
179.000	2.527	-8.373	30.536	18.632	30.536	89.239	23.900	21.642	21.202
179.125	2.543	-8.375	31.949	17.402	31.949	89.757	23.131	21.322	24.007
179.250	2.555	-8.381	33.216	15.416	33.216	90.744	21.267	19.941	24.015
179.375	2.559	-8.400	33.844	12.695	33.844	91.932	18.327	17.453	21.507
179.500	2.551	-8.450	33.232	9.787	33.232	93.081	14.825	14.258	18.398
179.625	2.525	-8.555	30.606	7.621	30.606	94.324	11.628	11.120	12.886
179.750	2.489	-8.672	26.351	6.346	26.351	94.718	9.172	8.605	7.984
179.875	2.453	-8.794	21.214	5.700	21.214	94.209	7.433	6.871	5.311
180.000	2.425	-8.918	16.192	5.419	16.192	94.524	6.177	5.862	4.719
180.125	2.411	-9.052	12.381	5.430	12.381	97.977	5.785	5.510	5.129
180.250	2.407	-9.192	9.950	5.564	9.950	101.184	5.850	5.554	5.466
180.375	2.409	-9.327	8.702	5.657	8.702	100.273	6.112	5.847	5.653
180.500	2.413	-9.435	8.290	5.651	8.290	96.933	6.357	6.240	5.995
180.625	2.414	-9.496	8.496	5.628	8.496	98.198	6.509	6.580	6.545
180.750	2.410	-9.547	8.956	5.682	8.956	102.196	6.609	6.798	6.901
180.875	2.404	-9.608	9.443	5.798	9.443	102.610	6.715	6.903	6.769
181.000	2.399	-9.678	9.840	5.890	9.840	97.536	6.862	6.936	6.494
181.125	2.401	-9.746	10.152	5.900	10.152	93.216	7.031	6.934	6.659
181.250	2.411	-9.793	10.451	5.898	10.451	95.791	7.150	6.904	7.448
181.375	2.425	-9.817	10.655	5.916	10.655	101.714	7.160	6.823	7.966
181.500	2.441	-9.847	10.584	5.912	10.584	103.652	7.039	6.669	7.293
181.625	2.454	-9.895	10.132	5.884	10.132	99.224	6.818	6.446	6.601
181.750	2.462	-9.928	9.518	5.907	9.518	95.227	6.599	6.221	6.272
181.875	2.462	-9.915	8.977	6.006	8.977	94.807	6.464	6.060	6.468
182.000	2.456	-9.863	8.654	6.191	8.654	97.027	6.473	6.018	6.812
182.125	2.443	-9.765	8.540	6.470	8.540	99.579	6.695	6.146	7.272
182.250	2.426	-9.667	8.547	6.772	8.547	99.577	7.098	6.410	7.608
182.375	2.409	-9.592	8.747	7.007	8.747	94.554	7.637	6.777	8.083
182.500	2.390	-9.544	9.242	7.146	9.242	88.268	8.221	7.189	8.656
182.625	2.370	-9.528	9.995	7.175	9.995	88.638	8.666	7.542	9.586
182.750	2.352	-9.543	10.685	7.043	10.685	93.752	8.821	7.732	9.760
182.875	2.336	-9.590	11.033	6.731	11.033	97.188	8.607	7.686	9.406
