#Depth	SP	GR	RI	RT	RXO	DEN
151.875	-29.143	70.676	19.908	21.051	21.527	2.421
152.000	-29.112	70.301	20.022	21.237	23.656	2.427
152.125	-29.112	68.561	20.010	21.262	24.592	2.426
152.250	-29.128	68.790	19.897	21.160	22.936	2.420
152.375	-29.443	68.247	19.814	21.128	20.088	2.412
152.500	-29.852	65.994	20.168	21.680	19.891	2.403
152.625	-30.193	62.015	21.230	23.077	23.091	2.397
152.750	-30.597	58.290	22.557	24.694	29.331	2.400
152.875	-31.006	56.711	23.287	25.487	35.840	2.409
153.000	-31.130	55.489	22.868	24.847	35.416	2.413
153.125	-31.130	54.607	21.421	23.012	26.724	2.408
153.250	-31.130	53.430	19.743	21.023	18.230	2.396
153.375	-31.130	53.756	18.743	19.932	15.712	2.392
153.500	-31.130	54.653	19.049	20.404	28.123	2.406
153.625	-31.130	55.212	20.466	22.156	56.900	2.435
153.750	-31.177	55.892	22.518	24.535	66.854	2.463
153.875	-31.456	57.059	24.214	26.401	46.774	2.474
154.000	-31.533	58.028	24.555	26.665	33.424	2.467
154.125	-31.533	57.110	23.672	25.519	33.827	2.452
154.250	-31.533	55.006	21.968	23.526	29.938	2.439
154.375	-31.533	52.902	20.148	21.486	21.704	2.426
154.500	-31.533	52.144	18.760	19.994	16.724	2.414
154.625	-31.533	51.764	17.877	19.112	16.006	2.409
154.750	-31.533	52.182	17.520	18.825	17.149	2.410
154.875	-31.533	54.181	17.607	19.007	18.046	2.410
155.000	-31.533	56.978	17.934	19.452	17.905	2.408
155.125	-31.502	59.155	18.309	19.964	18.109	2.408
155.250	-31.130	58.881	18.430	20.186	18.549	2.410
155.375	-30.680	59.248	18.165	19.960	19.957	2.409
155.500	-30.354	60.556	17.543	19.283	22.359	2.399
155.625	-29.919	64.775	16.734	18.354	20.536	2.383
155.750	-29.315	69.141	16.082	17.622	15.812	2.371
155.875	-29.068	72.797	15.980	17.566	14.685	2.367
156.000	-29.026	74.091	16.496	18.205	16.909	2.370
156.125	-28.959	73.181	17.305	19.160	21.717	2.372
156.250	-28.861	70.963	18.359	20.386	25.844	2.370
156.375	-28.740	69.337	19.542	21.777	23.107	2.374
156.500	-28.563	69.410	20.710	23.261	18.319	2.396
156.625	-28.292	70.078	21.603	24.516	21.828	2.430
156.750	-27.959	70.879	20.910	23.812	32.692	2.454
156.875	-27.618	72.098	18.049	20.485	38.769	2.449
157.000	-27.313	71.948	13.819	15.518	31.654	2.397
157.125	-27.010	71.887	9.308	10.241	17.572	2.308
157.250	-26.661	72.039	6.079	6.616	7.609	2.212
157.375	-26.267	75.159	4.282	4.697	4.145	2.144
157.500	-25.869	78.712	3.470	3.916	3.457	2.118
157.625	-25.564	81.143	3.217	3.768	3.396	2.118
157.750	-25.392	80.623	3.243	3.902	3.586	2.129
157.875	-25.300	79.823	3.332	4.058	3.566	2.142
158.000	-25.295	80.728	3.363	4.086	3.434	2.150
158.125	-25.341	83.545	3.303	3.984	3.393	2.151
158.250	-25.432	85.138	3.208	3.838	3.222	2.144
158.375	-25.569	82.829	3.147	3.738	2.889	2.137
158.500	-25.806	77.918	3.179	3.756	2.799	2.138
158.625	-26.129	75.030	3.321	3.924	3.280	2.150
158.750	-26.494	76.867	3.594	4.276	4.141	2.172
158.875	-26.883	80.121	3.934	4.742	4.753	2.193
159.000	-27.273	83.353	4.256	5.211	5.027	2.207
159.125	-27.640	85.608	4.456	5.529	5.267	2.215
159.250	-27.985	86.654	4.411	5.528	5.430	2.221
159.375	-28.284	83.807	4.161	5.249	5.337	2.219
159.500	-28.405	79.915	3.805	4.820	4.843	2.201
159.625	-28.342	78.275	3.461	4.400	4.113	2.174
159.750	-28.121	79.970	3.231	4.124	3.685	2.152
159.875	-27.832	80.584	3.124	4.012	3.773	2.144
160.000	-27.538	79.917	3.167	4.117	3.974	2.144
160.125	-27.364	79.596	3.408	4.510	4.016	2.153
160.250	-27.354	79.736	3.830	5.175	4.365	2.179
160.375	-27.368	79.939	4.332	5.955	5.563	2.226
160.500	-27.264	77.238	4.716	6.521	6.891	2.270
160.625	-27.128	74.853	4.804	6.604	7.104	2.278
160.750	-26.969	72.735	4.589	6.215	6.180	2.237
160.875	-26.806	74.308	4.185	5.566	4.980	2.177
161.000	-26.674	75.357	3.805	5.018	4.287	2.137
161.125	-26.612	76.150	3.603	4.790	4.261	2.131
161.250	-26.626	74.914	3.604	4.885	4.550	2.148
161.375	-26.660	75.494	3.707	5.114	4.868	2.164
161.500	-26.608	75.737	3.803	5.294	5.052	2.172
161.625	-26.496	77.613	3.819	5.312	4.971	2.177
161.750	-26.378	79.964	3.737	5.158	4.597	2.186
